"date","covid","school","food","water","reopen"
"2020-03-25","141472","1704","1784","558","3464"
"2020-03-26","460495","5470","6624","1982","10681"
"2020-03-27","466953","5855","6671","1811","10113"
"2020-03-28","408989","4531","5841","1709","9240"
"2020-03-29","412136","5027","5846","1609","9925"
"2020-03-30","467816","6931","7221","2234","11500"
"2020-03-31","482488","7292","7808","2470","11656"
"2020-04-01","477859","7245","7255","2015","12376"
"2020-04-02","473347","6631","7334","1918","11147"
"2020-04-03","491106","6254","7392","2067","11702"
"2020-04-04","472663","4057","6193","1741","11171"
"2020-04-05","468091","3992","5783","2093","10886"
"2020-04-06","491993","6383","6483","2714","11629"
"2020-04-07","492167","6861","6575","2002","11689"
"2020-04-08","526129","6228","7389","2246","12919"
"2020-04-09","509885","6793","8136","2177","12791"
"2020-04-10","346908","3977","5477","1426","9659"
"2020-04-11","87542","1210","1551","327","2400"
"2020-04-12","70336","683","1098","255","1887"
"2020-04-13","132158","1593","2438","491","4177"
"2020-04-14","110680","1569","1928","454","3517"
"2020-04-15","66685","1010","1057","250","2165"
"2020-04-16","78605","1184","1257","342","2983"
"2020-04-17","61429","1140","1068","247","2470"
"2020-04-18","58144","764","968","225","2272"
"2020-04-19","95251","1302","1420","396","3624"
"2020-04-20","125485","1922","2000","566","5246"
"2020-04-21","124628","1955","2098","499","4437"
"2020-04-22","92114","1189","1541","404","3484"
"2020-04-23","82184","1039","1253","442","3063"
"2020-04-24","202003","2743","2728","1116","7204"
"2020-04-25","417141","5088","5155","1710","15062"
"2020-04-26","429528","5875","6242","1914","16708"
"2020-04-27","498257","8259","8200","2268","23744"
"2020-04-28","508634","8645","7883","1974","22668"
"2020-04-29","503274","8831","7950","1929","21371"
"2020-04-30","517536","8601","8248","2027","21372"
"2020-05-01","494869","8898","7973","2398","22169"
"2020-05-02","417780","5846","5543","1759","16701"
"2020-05-03","412910","6216","5296","1510","17657"
"2020-05-04","485396","7704","6012","1853","24249"
"2020-05-05","484489","7485","6551","2073","23955"
"2020-05-06","491353","7931","6626","2033","23882"
"2020-05-07","489871","7579","6742","2156","22973"
"2020-05-08","477614","6397","6251","1999","22387"
"2020-05-09","397121","4657","4926","1667","17552"
"2020-05-10","349469","4950","3426","1179","15014"
"2020-05-11","467900","7926","5181","2505","25959"
"2020-05-12","465772","8640","5078","2686","25051"
"2020-05-13","469381","10162","5742","2362","23658"
"2020-05-14","481997","11163","6397","2169","24159"
"2020-05-15","466890","12101","6248","2303","22693"
"2020-05-16","368646","8138","4237","1677","16266"
"2020-05-17","363932","7907","3770","1646","16603"
"2020-05-18","455422","9981","4737","2643","24247"
"2020-05-19","426954","10823","5609","2080","23080"
"2020-05-20","443612","10573","5079","1979","23203"
